Hotel Name,Rating,Location,Price,Tax,City,Star,Mini Fridge,Wi-Fi,House Keeping,Seating Area,Parking,AC,Meals,Swimming Pool
The Orchid Hotel Mumbai Vile Parle,4,Near Mumbai Airport ,"6,499",780,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Trident Bandra Kurla,4.6,Bandra Kurla Complex ,"8,750",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
ITC Grand Central - A Luxury Collection Hotel,4.5,South Mumbai ,"14,000",,Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
IRA By Orchid Mumbai ( VITS Mumbai),3.9,Near Mumbai Airport ,"5,099",612,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Trident Nariman Point,4.6,Marine Drive ,"11,250",,Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
The Lalit Mumbai,4.1,Near Mumbai Airport ,"11,160","3,000",Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Ginger Mumbai, Andheri East",3.7,Andheri East ,"3,679",,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Taj Santacruz, Mumbai",4.6,Near Mumbai Airport ,"9,000",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Hotel Surya Prakash,3.9,Chembur,"3,939",968,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Hilton Mumbai International Airport,4.2,Near Mumbai Airport ,"9,100",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Holiday Inn Mumbai International Airport,4.3,Near Mumbai Airport ,"6,999",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
goSTOPS Mumbai - Rooms & Dorms,3.9,South Mumbai,816,211,Mumbai,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Regale by Tunga,4.1,Andheri East ,"4,427",932,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Taj Lands End, Mumbai",4.5,Bandra West ,"11,000",,Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai",4.1,Juhu ,"7,095","2,136",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Sahara Star,4.2,Near Mumbai Airport ,"10,400","1,872",Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Qubestay Airport Capsule Hostel | Rooms & Dorms,3.8,Andheri East ,"1,160",341,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Courtyard by Marriott Mumbai International Airport,4.3,Near Mumbai Airport ,"7,500",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
The Westin Mumbai Garden City,4.4,Goregaon ,"9,000",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
JW Marriott Mumbai Juhu,4.4,Juhu ,"12,500",,Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
ITC Maratha - A Luxury Collection Hotel,4.4,Near Mumbai Airport ,"10,030",,Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
City Stay,4.6,Andheri East ,"1,229",370,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
JW Marriott Mumbai Sahar,4.5,Near Mumbai Airport ,"9,500",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Radisson Mumbai Andheri MIDC,4.3,Andheri East ,"7,000",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Sofitel Mumbai BKC- Luxury Brand by Accor,4.3,Bandra Kurla Complex ,"8,550","1,539",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
The Leela Mumbai,4.5,Near Mumbai Airport ,"10,500",,Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Novotel Mumbai International Airport,4.4,Near Mumbai Airport ,"8,299",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Radisson Blu Mumbai International Airport,4.4,Near Mumbai Airport ,"7,499",,Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Sun-N-Sand,4.2,Juhu ,"8,835","2,660",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
The St. Regis Mumbai,4.5,South Mumbai ,"12,500",,Mumbai,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Niranta Airport Transit Hotel & Lounge Terminal 2 Arrivals/Landside,4,In Mumbai Airport ,"9,303","2,501",Mumbai,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Zostel Mumbai
Like a 3",4,Andheri East ,"1,342",285,Mumbai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
